achu	echu
amélie	Ameli
arall	all
arri	erru
atao	atav
a-walac'h	a-walc'h
a-wezhoù	a-wechoù
'ban	b'an
'bar	b'ar
beket	betek
beljia	Belgia
bennaket	bennak
bopred	bepred
California	Kalifornia
catherine	Katrin
chistr	sistr
c'honea	c'hounez
c'hoût	c'houzout
christian	Kristian
christophe	Kristof
c'hwezho	c'hwezhañ
dalc'hmad	dalc'hmat
dalvea	dalvez
danemark	Danmark
dervezh	devezh
dimp	deomp
dominique	Dominig
drebiñ	debriñ
dregant	dre gant
egipt	Ejipt
émile	Emil
émilie	Emilie
eric	Erik
erwann	Erwan
evid	evit
fabrice	Fabris
france	Frañs
frederick	Frederik
frederig	Frederik
gamaraded	gamaladed
gourvenec	Gourvenneg
gourvennec	Gourvenneg
goût	gouzout
gweltas	Gweltaz
gwezhall	gwechall
gwezh	gwech
hein	heñ
helena	Elena
helene	Elen
hélène	Elen
helen	Elen
hirie	hiziv
hirio	hiziv
hiriv	hiziv
hounnezh	honnezh
huelgoat	Uhelgoad
iraq	Irak
isabelle	Izabel
japon	Japan
jezus	Jezuz
jug	chug
justine	Justin
kambodjia	Kambodja
kaorintin	Kaourintin
koa	kwa
laboura	labour
laran	lavaran
lâran	lavaran
laras	lavaras
lâras	lavaras
lare	lavare
lâre	lavare
laren	lavaren
lâren	lavaren
laret	lavaret
laret	lavaret
lâret	lavaret
larfe	lavarfe
lârfe	lavarfe
larit	lavarit
lârit	lavarit
lar	lavar
lâr	lavar
laro	lavaro
lâro	lavaro
léa	Lea
loïc	Loig
loïg	Loig
maël	Mael
'maint	emaint
maoc'h	emaoc'h
maomp	emaomp
'maon	emaon
marcel	Marsel
maría	Maria
marianna	Mariana
marie	Mari
mélanie	Melani
memez	memes
mes	met
'met	nemet
'meus	'm eus
'moa	'm oa
moutik	moutig
neket	n'eo ket
'neus	'n eus
neus	'n eus
'noa	'n oa
normandie	Normandi
nozvat	noz vat
office	ofis
patrig	Padrig
p'az	pa 'z
penaoz	penaos
pendegwir	peogwir
philippe	Filip
plastek	plastik
plouescat	Ploueskad
plougastel	Plougastell
poher	Poc'hêr
pugur	peogwir
ropars	Roparz
rostrenn	Rostren
russia	Rusia
skiantourion	skiantourien
skriviñ	skrivañ
stéphan	Stefan
stokholm	Stockholm
tailand	Thailand
taïland	Thailand
tanguy	Tangi
télégramme	telegram
thaïland	Thailand
tiphaine	Tifenn
tofu	tofou
ukrainia	Ukraina
ukrenia	Ukraina
'vat	avat
victoria	Viktoria
victor	Viktor
vidon	evidon
vitale	vital
'vit	evit
vrezhonegerion	vrezhonegerien
werzho	werzhañ
yannick	Yannig
'zeus	'z eus
