*añ	*a
*iñ	*i
a-raok	araog
a-walc'h	avoualc'h
alies	aliez
amzer	amser
atav	atao
bardon	bardoun
betek	beteg
bev	beo
bevañ	beva
bezañ	beza
bremañ	brema
brezhoneg	brezonek
c'halon	c'haloun
c'hell	ell
c'hoazh	c'hoaz
c'hwi	c'houi
chom	jomm
deoc'h	d'heoc'h
deomp	d'heomp
deus	deuz
dezhañ	d'ezhan
dezho	d'ezho
digalon	digaloun
diskouez	diskuez
diskouezet	diskuezet
div	diou
diwar	divar
dorn	dourn
e-pad	epad
ebet	hebet
ennañ	ennhan
enno	ennho
eur	heur
eus	euz
evito	evitho
fardon	fardoun
galon	galoun
gantañ	ganthan
gantho	ganto
ganti	ganthi
graet	great
gwech	gueach
gwel	guel
gwelit	guelit
gwell	guell
gwellañ	guella
gwelloc'h	guelloc'h
gwinizh	guiniz
gwir	guir
gwirion	guirion
hiziv	hirio
ivez	ive
kaer	kear
kalon	kaloun
kalz	kals
kentañ	kenta
kompren	koumpren
lakaet	lakeat
lec'h	leac'h
levr	leor
levrioù	leoriou
liv	liou
marv	maro
mat	mad
mignon	mignoun
n'eus	n'euz
nemetañ	nemethan
on	oun
ouzh	ouz
ouzhpenn	ouspenn
pardon	pardoun
pegen	peger
pelec'h	peleac'h
penaos	penaoz
person	persoun
piv	piou
poaniañ	poania
ret	red
sarmon	sarmoun
siwazh	siouaz
soñj	sounj
soñjal	sounjal
ul	eul
un	eun
ur	eur
vat	vad
vezañ	veza
vignon	vignoun
war	var
wech	veach
ya	ia
yec'hed	iec'hed
zorn	zourn
zoñj	zounj
